"","species","temp","se_temp","within_sp_var_temp","prec","se_prec","within_sp_var_prec","mean_pet","se_pet","within_sp_var_pet","mean_aridity","se_aridity","within_sp_var_aridity","Dispersal_mode"
"1","Acanthella_sprucei",5.703265,0.00058,3e-06,7.947297,0.02089,0.004093,7.280666,0.018673,0.000474,9.860619,0.034712,0.00451,"Abiotic"
"2","Aciotis_acuminifolia",5.699637,0.000569,0,7.729064,0.026934,0.000657,7.242597,0.009919,7.6e-05,9.697583,0.02985,0.000728,"Biotic"
"3","Aciotis_circaeifolia",5.704282,0.000509,2.6e-05,7.77919,0.106267,0.035468,7.216087,0.019398,0.004104,9.750097,0.056469,0.039089,"Biotic"
"4","Aciotis_indecora",5.699206,0.000581,1e-06,7.872456,0.028527,0.000739,7.304472,0.009725,8.7e-05,9.749603,0.02744,0.000832,"Biotic"
"5","Aciotis_polystachya",5.697275,0.001253,1e-06,7.953115,0.045644,0.001835,7.179626,0.014849,0.000212,9.97035,0.048303,0.002022,"Abiotic"
"6","Acisanthera_paraguayensis",5.688205,0.002309,8e-06,7.337357,0.034374,0.010641,7.408304,0.023138,0.001231,9.121297,0.056527,0.011727,"Abiotic"
"7","Acisanthera_quadrata",5.695481,0.000791,1e-06,7.521557,0.032516,0.000782,7.38496,0.009284,9.2e-05,9.342933,0.032303,0.000875,"Abiotic"
"8","Acisanthera_variabilis",5.683079,0.001044,1e-06,7.243407,0.023836,0.001499,7.264814,0.014756,0.000173,9.188926,0.033554,0.001652,"Abiotic"
"9","Adelobotrys_adscendens",5.695228,0.000708,1e-06,7.94789,0.032039,0.001182,7.293825,0.015235,0.00014,9.776894,0.036545,0.001333,"Abiotic"
"10","Adelobotrys_barbata",5.702577,0.000439,9e-06,8.076702,0.025106,0.011823,7.217111,0.019218,0.001368,10.064422,0.026791,0.01303,"Abiotic"
"11","Adelobotrys_boissieriana",5.694581,0.002755,9e-06,8.004505,0.096851,0.011823,7.123048,0.028049,0.001368,10.030793,0.139242,0.01303,"Abiotic"
"12","Adelobotrys_macrantha",5.70178,0.000167,3.9e-05,7.945897,0.004958,0.053203,7.054874,0.003884,0.006156,10.158428,0.05041,0.058634,"Abiotic"
"13","Adelobotrys_permixta",5.693695,0.001343,1.5e-05,7.539402,0.125017,0.021281,7.331891,0.013145,0.002462,9.457948,0.031901,0.023454,"Abiotic"
"14","Adelobotrys_spruceana",5.699283,0.001433,6e-06,7.93519,0.053024,0.0076,7.211621,0.032165,0.000879,9.89798,0.06686,0.008376,"Abiotic"
"15","Adelobotrys_subsessilis",5.701522,0.000202,7e-06,7.923603,0.020139,0.009673,7.086392,0.009145,0.001119,10.060179,0.018804,0.010661,"Abiotic"
"16","Adelobotrys_tessmannii",5.693685,0.001407,5e-06,7.923671,0.073457,0.007094,7.12393,0.016993,0.000821,10.005037,0.099318,0.007818,"Abiotic"
"17","Allomaieta_ebejicosana",5.669364,NA,7.7e-05,7.712891,NA,0.106405,7.2086,NA,0.012312,9.836813,NA,0.117268,"Abiotic"
"18","Allomaieta_grandiflora",5.692553,NA,7.7e-05,7.856707,NA,0.106405,7.302496,NA,0.012312,9.648918,NA,0.117268,"Abiotic"
"19","Allomaieta_pancurana",5.688491,0.004062,3.9e-05,8.103474,0.095441,0.053203,7.304778,0.038649,0.006156,9.925245,0.045948,0.058634,"Abiotic"
"20","Allomaieta_zenufanasana",5.684582,0.005946,3.9e-05,7.972917,0.154487,0.053203,7.329331,0.013448,0.006156,9.667931,0.107779,0.058634,"Abiotic"
