"","species","temp","se_temp","within_sp_var_temp","prec","se_prec","within_sp_var_prec","mean_pet","se_pet","within_sp_var_pet","mean_aridity","se_aridity","within_sp_var_aridity","Dispersal_mode"
"1","Acaena_cylindristachya",5.65125,0.007121,3.4e-05,7.286141,0.223166,0.027817,7.079611,0.046106,0.008505,9.309316,0.12081,0.035243,"Abiotic"
"2","Acaena_magellanica",5.631282,0.001113,6e-06,6.514133,0.123877,0.005216,6.664977,0.109789,0.001822,9.030314,0.210387,0.007552,"Abiotic"
"3","Adenostoma_fasciculatum",5.663881,0.001159,1e-05,5.938508,0.076783,0.007948,7.494452,0.0305,0.00243,7.62028,0.078505,0.010069,"Abiotic"
"4","Adenostoma_sparsifolium",5.657404,0.003179,4.1e-05,6.094049,0.173528,0.03338,7.582731,0.020284,0.010206,7.79529,0.199692,0.042292,"Abiotic"
"5","Agrimonia_gryposepala",5.636421,0.000709,1e-06,6.808572,0.018415,0.000893,6.946788,0.012452,0.000279,9.081279,0.023358,0.001156,"Abiotic"
"6","Agrimonia_nipponica",5.650752,0.001715,7e-06,7.490181,0.037349,0.005384,6.988699,0.022499,0.001646,9.664733,0.041515,0.006821,"Abiotic"
"7","Agrimonia_pilosa",5.642768,0.001165,0,6.726725,0.025581,0.000387,6.947378,0.010933,0.000119,8.979193,0.023966,0.000492,"Abiotic"
"8","Agrimonia_procera",5.637614,0.000656,2e-06,6.624642,0.030399,0.001669,6.698967,0.016733,0.000532,9.149105,0.038087,0.002203,"Abiotic"
"9","Alchemilla_abyssinica",5.648753,0.003884,2.9e-05,7.103788,0.055631,0.023843,7.29783,0.03131,0.00729,9.026084,0.077877,0.030208,"Abiotic"
"10","Alchemilla_alpina",5.620675,0.001048,2e-06,6.87069,0.043655,0.001575,6.402511,0.017539,0.000526,9.679478,0.044547,0.00218,"Abiotic"
"11","Alchemilla_argyrophylla",5.656892,0.036672,0.000103,7.335308,0.213248,0.083451,7.094543,0.239134,0.025514,9.39999,0.365671,0.105729,"Abiotic"
"12","Alchemilla_atriuscula",5.645624,NA,0.000206,6.940222,NA,0.166901,7.005789,NA,0.051029,9.046526,NA,0.211458,"Abiotic"
"13","Alchemilla_colura",5.6475,0.002426,6.9e-05,6.812123,0.077013,0.055634,7.292815,0.02067,0.01701,8.680014,0.053063,0.070486,"Abiotic"
"14","Alchemilla_coriacea",5.635095,0.001225,7e-06,6.850466,0.041226,0.005755,6.883834,0.02949,0.00176,9.302333,0.066641,0.007292,"Abiotic"
"15","Alchemilla_crinita",5.630273,0.001617,1.4e-05,6.936431,0.056036,0.011127,6.670068,0.025649,0.003402,9.569762,0.083291,0.014097,"Abiotic"
"16","Alchemilla_cryptantha",5.670099,0.002415,7e-06,7.205802,0.072841,0.005384,7.293974,0.033889,0.001646,9.111713,0.102394,0.006821,"Abiotic"
"17","Alchemilla_decumbens",5.625031,0.003037,6.9e-05,6.918387,0.074434,0.055634,6.721296,0.058278,0.01701,9.443511,0.135468,0.070486,"Abiotic"
"18","Alchemilla_ellenbeckii",5.650293,0.012161,6.9e-05,7.4831,0.033054,0.055634,6.9329,0.034079,0.01701,9.738112,0.070611,0.070486,"Abiotic"
