Species,Fruit_type,Fruit_type_and_notes,Notes,References
Porteranthus_stipulatus,Dry,"""Follicles""",,Gormley (1915)
Spiraea_trifoliata,Dry,Follicetum,,Xiang et al. (2016)
Gillenia_trifoliata,Dry,Follicetum,,Xiang et al. (2016)
Gillenia_stipulata,Dry,Follicetum,,Xiang et al. (2016)
Lindleya_mespiloides,Dry,"""Capsular dry fruits""",,Henrickson (2012)
Vauquelinia_corymbosa,Dry,Coccetum,,Xiang et al. (2016)
Vauquelinia_californica,Dry,Coccetum,,Xiang et al. (2016)
Sorbus_thomsonii,Fleshy,Pome,,Xiang et al. (2016)
Sorbus_caloneura,Fleshy,Pome,,Xiang et al. (2016)
Sorbus_dunnii,Fleshy,Pome,,Xiang et al. (2016)
Sorbus_folgneri,Fleshy,Pome,,Xiang et al. (2016)
Sorbus_yuana,Fleshy,Pome,,Xiang et al. (2016)
Aria_alnifolia,Fleshy,Pome,Note: Sorbus alnifolia (Basionym),Xiang et al. (2016); Tropicos accessed on Dec.2020
Sorbus_hemsleyi,Fleshy,Pome,,Xiang et al. (2016)
Sorbus_tsinlingensis,Fleshy,Pome,,Xiang et al. (2016)
Sorbus_coronata,Fleshy,Pome,,Xiang et al. (2016)
Photinia_hirsuta,Fleshy,Pome,,Xiang et al. (2016)
Photinia_impressivena,Fleshy,Pome,,Xiang et al. (2016)
Photinia_sorbifolia,Fleshy,Pome,,Xiang et al. (2016)
Photinia_schneideriana,Fleshy,Pome,,Xiang et al. (2016)
Photinia_benthamiana,Fleshy,Pome,,Xiang et al. (2016)
Photinia_fokienensis,Fleshy,Pome,,Xiang et al. (2016)
Photinia_parvifolia,Fleshy,Pome,,Xiang et al. (2016)
Photinia_villosa,Fleshy,Pome,,Xiang et al. (2016)
Photinia_komarovii,Fleshy,Pome,,Xiang et al. (2016)
Photinia_tsaii,Fleshy,Pome,,Xiang et al. (2016)
Photinia_beauverdiana,Fleshy,Pome,,Xiang et al. (2016)
Rhaphiolepis_umbellata,Fleshy,Pome,,Xiang et al. (2016)
Photinia_stenophylla,Fleshy,Pome,,Xiang et al. (2016)
Cotoneaster_verruculosus,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_nitidus,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_morrisonensis,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_assamensis,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_roseus,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_melanocarpus,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_integerrimus,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_armenus,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_niger,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_cambricus,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_racemiflorus,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_mongolicus,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_multiflorus,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_przewalskii,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_bullatus,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_sylvestrii,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_oliganthus,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_hebephyllus,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_submultiflorus,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
Cotoneaster_dammeri,Fleshy,Drupe-like pome,,Lu and Brach (2003); Fryer and Hylmo_ (2011)
