"","species","mean_temp","se_temp","within_sp_var_temp","mean_prec","se_prec","within_sp_var_prec","mean_pet","se_pet","within_sp_var_pet","mean_aridity","se_aridity","within_sp_var_aridity","Fruit_type"
"1","Acnistus_arborescens",5.684387,0.001037,1e-06,7.201704,0.048677,0.001692,7.255239,0.012953,0.000173,9.173114,0.054185,0.002176,"Fleshy"
"2","Anisodus_luridus",5.632575,0.003891,8e-06,6.16028,0.183311,0.013323,7.109158,0.037929,0.00136,8.572887,0.165469,0.01714,"Dry"
"3","Anisodus_tanguticus",5.624228,0.002479,4e-06,5.985419,0.067886,0.006091,6.963759,0.033563,0.000622,8.672069,0.051383,0.007835,"Dry"
"4","Anthocercis_angustifolia",5.659999,0.003483,6.5e-05,6.439355,0.47835,0.106586,7.540166,0.185164,0.010883,8.196299,0.666892,0.137117,"Dry"
"5","Anthocercis_gracilis",5.666946,NA,0.000131,6.646391,NA,0.213172,7.56008,NA,0.021766,8.174703,NA,0.274234,"Dry"
"6","Anthocercis_intricata",5.685617,0.001122,3.3e-05,5.86937,0.126536,0.053293,7.764401,0.018829,0.005442,7.295211,0.118938,0.068558,"Dry"
"7","Anthocercis_littorea",5.675793,0.001488,6e-06,6.365344,0.102577,0.010151,7.586296,0.041306,0.001209,8.015743,0.141919,0.015235,"Dry"
"8","Anthocercis_sylvicola",5.663481,NA,0.000131,7.007601,NA,0.213172,7.297768,NA,0.021766,8.819074,NA,0.274234,"Dry"
"9","Anthotroche_myoporoides",5.686012,0.001688,4.4e-05,5.661291,0.072523,0.071057,7.821777,0.02573,0.007255,7.124259,0.065829,0.091411,"Dry"
"10","Anthotroche_pannosa",5.683166,0.000944,3e-06,5.582852,0.039506,0.004845,7.878426,0.019448,0.000495,6.911392,0.054713,0.006233,"Dry"
"11","Anthotroche_walcottii",5.682899,0.000629,3.3e-05,5.938653,0.070228,0.053293,7.765935,0.015842,0.005442,7.36353,0.078596,0.068558,"Dry"
"12","Atropa_belladonna",5.645245,0.000917,1e-06,6.66568,0.029092,0.001733,6.887166,0.020141,0.000178,8.948834,0.041515,0.002248,"Fleshy"
"13","Atropanthe_sinensis",5.667196,0.002437,3.3e-05,6.830689,0.031876,0.053293,7.05528,0.012832,0.005442,9.297744,0.056606,0.068558,"Dry"
"14","Aureliana_fasciculata",5.682717,0.001274,2e-06,7.342332,0.035044,0.00292,7.187225,0.014143,0.000302,9.293738,0.040162,0.003809,"Fleshy"
"15","Benthamiella_patagonica",5.637925,0.001926,5e-06,5.295907,0.08276,0.008199,7.220572,0.050195,0.000871,7.364531,0.111543,0.010969,"Dry"
"16","Benthamiella_skottsbergii",5.638516,0.004108,4.4e-05,5.172631,0.197783,0.071057,7.227904,0.089387,0.007255,7.179541,0.079602,0.091411,"Dry"
"17","Bouchetia_erecta",5.680483,0.003554,1.5e-05,6.624762,0.075251,0.023686,7.518003,0.011619,0.002418,8.352102,0.064809,0.03047,"Dry"
"18","Browallia_eludens",5.664435,0.000498,3.3e-05,6.363889,0.114138,0.053293,7.660132,0.032948,0.005442,8.14107,0.164024,0.068558,"Dry"
"19","Browallia_speciosa",5.676744,0.002262,5e-06,7.712735,0.093691,0.007895,7.141874,0.019473,0.000806,9.759217,0.079603,0.010157,"Dry"
"20","Brugmansia_arborea",5.680619,0.00818,2.6e-05,7.844241,0.276725,0.042634,7.233921,0.031459,0.004353,9.856176,0.242128,0.054847,"Fleshy"
"21","Brugmansia_aurea",5.667243,0.002516,5e-06,7.291904,0.072032,0.008527,7.134263,0.026932,0.000871,9.45528,0.068874,0.010969,"Fleshy"
"22","Brugmansia_sanguinea",5.653779,0.00332,5e-06,6.859569,0.206565,0.008882,7.044822,0.026847,0.000907,8.859513,0.227595,0.011426,"Fleshy"
"23","Brunfelsia_uniflora",5.687669,0.001236,1e-06,7.102163,0.037022,0.001938,7.296357,0.012663,0.000198,9.000894,0.045336,0.002493,"Dry"
"24","Capsicum_baccatum",5.687864,0.001039,1e-06,6.969323,0.054015,0.00192,7.389113,0.017056,0.000198,8.791245,0.07057,0.002493,"Fleshy"
"25","Capsicum_cardenasii",5.659308,NA,0.000131,5.652489,NA,0.213172,7.41998,NA,0.021766,8.190077,NA,0.274234,"Fleshy"
"26","Capsicum_ceratocalyx",5.66244,NA,0.000131,7.312553,NA,0.213172,7.317876,NA,0.021766,8.929303,NA,0.274234,"Fleshy"
"27","Capsicum_chacoense",5.682743,0.001197,2e-06,6.681847,0.054126,0.00292,7.50563,0.009056,0.000298,8.350397,0.053173,0.003757,"Fleshy"
"28","Capsicum_chinense",5.694459,0.000967,2e-06,7.800229,0.048247,0.003384,7.221457,0.015577,0.000345,9.776134,0.052351,0.004353,"Fleshy"
"29","Capsicum_eximium",5.665557,0.001708,3.3e-05,6.215149,0.11471,0.053293,7.446414,0.026368,0.005442,8.054963,0.060612,0.068558,"Fleshy"
"30","Capsicum_flexuosum",5.678419,0.001016,3e-06,7.451822,0.023508,0.004634,7.210226,0.020522,0.000473,9.377623,0.029174,0.005962,"Fleshy"
"31","Capsicum_geminifolium",5.670547,0.005458,1.5e-05,7.467446,0.173707,0.023686,7.047576,0.040284,0.002418,9.694696,0.11966,0.03047,"Fleshy"
"32","Capsicum_hunzikerianum",5.672462,0.00172,6.5e-05,7.585938,0.115714,0.106586,7.008625,0.025763,0.010883,9.692664,0.090687,0.137117,"Fleshy"
"33","Capsicum_pereirae",5.682103,0.003758,1.9e-05,7.430012,0.071148,0.030453,7.177665,0.02614,0.003109,9.231375,0.086503,0.039176,"Fleshy"
"34","Capsicum_pubescens",5.673584,0.002311,3e-06,7.045766,0.070598,0.004263,7.315954,0.023865,0.000435,8.979355,0.070813,0.005485,"Fleshy"
