Species,Fruit_type,Dispersal_mode_detailed,Fruit_type_and_notes,Notes,References,,Solanum clade
Solanum_chenopodinum,Fleshy,Bird,Berry,Note: bird dispersed,Symon (1987),,OLD WORLD
Solanum_ferocissimum,Fleshy,Bird,Berry,Note: bird dispersed,Symon (1987),,OLD WORLD
Solanum_stelligerum,Fleshy,Bird,Berry,Note: bird dispersed,Symon (1987),,OLD WORLD
Solanum_latens,Fleshy,Bird,Berry,"Note: ""red""",solanaceaesource.org,,OLD WORLD
Solanum_chenopodium,Fleshy,,Berry,,solanaceaesource.org,,OLD WORLD
Solanum_gympiense,Fleshy,,Berry,,solanaceaesource.org,,OLD WORLD
Solanum_densevestitum,Fleshy,,Berry,,solanaceaesource.org,,OLD WORLD
Solanum_nemophilum,Fleshy,,Berry,,solanaceaesource.org,,OLD WORLD
Solanum_hapalum,Fleshy,,Berry,,solanaceaesource.org,,OLD WORLD
Solanum_innoxium,Fleshy,,Berry,,solanaceaesource.org,,OLD WORLD
Solanum_johnsonianum,Fleshy,,Berry,,solanaceaesource.org,,OLD WORLD
Solanum_discolor,Fleshy,,Berry,,solanaceaesource.org,,OLD WORLD
Solanum_shirleyanum,Fleshy,,Berry,,solanaceaesource.org,,OLD WORLD
Solanum_corifolium,Fleshy,Bird,Berry,Note: bird dispersed,Symon (1987),,OLD WORLD
Solanum_cookii,Fleshy,,Berry,"Note: ""green""",solanaceaesource.org,,OLD WORLD
Solanum_dissectum,Fleshy,,Berry,,solanaceaesource.org,,OLD WORLD
Solanum_stupefactum,Fleshy,Bird,Berry,"Note: ""orange when ripe""",solanaceaesource.org,,OLD WORLD
Solanum_furfuraceum,Fleshy,,Berry,"Note: ""yellowish-green or green""",solanaceaesource.org,,OLD WORLD
Solanum_rixosum,Fleshy,,Berry,"Note: ""yellowish-green or green""",solanaceaesource.org,,OLD WORLD
Solanum_incompletum,Fleshy,,Berry,,solanaceaesource.org,,OLD WORLD
Solanum_sandwicense,Fleshy,,Berry,,solanaceaesource.org,,OLD WORLD
Solanum_mitchellianum,Fleshy,,Berry,,solanaceaesource.org,,OLD WORLD
Solanum_semiarmatum,Fleshy,Bird,Berry,Note: bird dispersed,Symon (1987),,OLD WORLD
Solanum_pancheri,Fleshy,,Berry,,solanaceaesource.org,,OLD WORLD
Solanum_vaccinioides,Fleshy,,Berry,,solanaceaesource.org,,OLD WORLD
Solanum_brownii,Fleshy,doubtful,Berry,Note: probably mammal or bird dispersed,Symon (1979),,OLD WORLD
Solanum_curvicuspe,no_info,,Berry,,,,OLD WORLD
Solanum_viridifolium,Fleshy,,Berry,,solanaceaesource.org,,OLD WORLD
Solanum_macoorai,Fleshy,bird,Berry,"Note: ""red or orange""",solanaceaesource.org,,OLD WORLD
Solanum_dimorphispinum,Fleshy,,Berry,"Note: ""yellow when ripe""",solanaceaesource.org,,OLD WORLD
Solanum_amblymerum,Fleshy,,Berry,"Note: ""pale green with dark green streaks""",solanaceaesource.org,,OLD WORLD
Solanum_limitare,Fleshy,,Berry,"Note: ""pale green with dark green streaks""",solanaceaesource.org,,OLD WORLD
Solanum_inaequilaterum,Fleshy,,Berry,,solanaceaesource.org,,OLD WORLD
Solanum_acanthodapis,Fleshy,,Berry,"Note: ""yellowish-green""",solanaceaesource.org,,OLD WORLD
Solanum_serpens,Fleshy,,Berry,"Note: ""yellowish-green or green""",solanaceaesource.org,,OLD WORLD
Solanum_neoanglicum,Fleshy,,Berry,"Note: ""yellowish-green or green""",delta-intkey.com/solanum/www/neoangli,,OLD WORLD
Solanum_nobile,Fleshy,,Berry,"Note: ""pale green with dark green streaks""",solanaceaesource.org,,OLD WORLD
Solanum_argopetalum,Fleshy,,Berry,"Note: ""yellowish-green or green""",solanaceaesource.org,,OLD WORLD
